event_id,time,magnitude,depth_km,latitude,longitude,quality
2016p868715,2016-11-17T10:11:52.276559Z,4.44,10.136,-41.71266937,174.3865356,2
2016p860744,2016-11-14T11:24:53.269476Z,4.46,5.000,-42.36063004,174.0089569,2
2016p921247,2016-12-06T20:40:46.880839Z,4.47,9.400,-41.75837708,174.2390137,2
2013p575071,2013-08-01T18:38:13.243108Z,4.47,18.711,-41.5533299,174.3919034,2
2017p266160,2017-04-09T11:30:15.511267Z,4.47,13.112,-41.42417908,174.4549408,2
2016p155711,2016-02-27T14:43:04.271946Z,4.48,18.357,-40.34791565,176.4556427,2
2017p035079,2017-01-13T23:30:06.864674Z,4.49,9.171,-41.62966919,174.3069305,2
2012p812341,2012-10-27T13:35:44.792828Z,4.49,33.242,-40.13245641,174.8774086,2
2175994,2004-01-27T14:58:24.740000Z,4.50,47.447,-37.29382,177.77724,2
2229114,2004-05-12T09:52:57.798000Z,4.50,27.415,-40.65113,175.76532,2
2317214,2004-11-04T08:39:36.829000Z,4.50,36.788,-40.64523,175.08919,2
2421904,2005-06-23T08:21:52.569000Z,4.50,13.778,-41.97717,173.90611,2
2445916,2005-08-13T05:40:46.914000Z,4.50,48.764,-37.33163,178.1759,2
3168665,2009-10-16T01:27:10.707000Z,4.50,47.822,-39.62679,176.00069,2
2016p863159,2016-11-15T08:51:14.969733Z,4.52,8.242,-42.36465454,173.8687897,2
2013p546702,2013-07-22T06:43:09.131190Z,4.53,11.680,-41.64306893,174.2383437,2
2017p207675,2017-03-18T20:09:45.902922Z,4.53,28.947,-40.37775803,176.2540283,2
2016p860963,2016-11-14T13:21:06.503340Z,4.53,9.028,-41.70551682,174.2945251,2
2018p830804,2018-11-04T09:32:40.863240Z,4.54,18.250,-39.88022614,176.8327332,2
2012p183261,2012-03-08T19:21:49.095711Z,4.55,38.398,-40.14300057,176.2549668,2
2017p287111,2017-04-17T05:32:47.874257Z,4.56,24.521,-39.86991882,176.9329071,2
2016p922917,2016-12-07T11:30:23.780128Z,4.57,5.791,-42.34869766,173.4288025,2
2017p060166,2017-01-23T06:16:39.128949Z,4.57,9.923,-41.64801025,174.2867889,2
2017p293719,2017-04-19T16:13:54.199887Z,4.59,5.000,-41.62878036,173.1664124,2
2016p878954,2016-11-21T05:06:42.137449Z,4.59,10.060,-41.93925095,174.0436859,2
2228945,2004-05-12T01:21:09.952000Z,4.60,12.000,-38.05128,178.27582,2
2013p027657,2013-01-11T05:35:57.674548Z,4.61,13.086,-39.35977941,173.6824689,2
2019p630200,2019-08-22T04:10:49.158612Z,4.61,12.000,-41.58006668,174.4196014,2
2017p003805,2017-01-02T09:47:19.421088Z,4.61,5.533,-42.33817291,173.5579987,2
2019p292772,2019-04-19T07:49:14.761551Z,4.61,7.364,-42.43284607,173.5513153,2
2013p916300,2013-12-06T00:45:00.499977Z,4.61,19.180,-41.68707466,174.0325761,2
2016p863142,2016-11-15T08:42:13.986202Z,4.62,7.120,-41.69927216,174.2567444,2
2016p858828,2016-11-13T18:23:53.405299Z,4.62,14.186,-41.8218956,174.0194855,2
2016p868025,2016-11-17T04:04:05.945665Z,4.62,10.361,-41.74941254,174.3869781,2
2015p362790,2015-05-15T05:34:35.965654Z,4.63,16.307,-41.68709183,174.0977936,2
2016p981419,2016-12-29T03:00:20.399945Z,4.64,13.203,-41.54832026,174.4342439,2
2018p460630,2018-06-20T10:23:51.723176Z,4.65,3.592,-37.73103714,177.669281,2
2016p356222,2016-05-11T19:15:32.224015Z,4.66,27.617,-40.91673375,175.4241875,2
2016p863743,2016-11-15T14:02:39.848940Z,4.68,7.300,-42.29377365,173.7825012,2
2016p861018,2016-11-14T13:50:50.695400Z,4.68,12.580,-41.56055832,174.399704,2
2016p959735,2016-12-21T02:27:08.684709Z,4.68,9.219,-42.38234915,173.7151671,2
2015p981036,2015-12-29T23:36:17.858744Z,4.69,24.805,-40.51762239,175.9063718,2
2016p883896,2016-11-23T01:00:14.765065Z,4.70,11.732,-41.71095276,174.268631,2
2016p474397,2016-06-24T12:38:43.743628Z,4.70,13.076,-41.55581665,174.4190826,2
2303276,2004-10-04T19:17:50.816000Z,4.70,30.350,-40.29593,175.96487,2
2498995,2005-12-12T13:55:47.784000Z,4.70,26.031,-40.51475,176.05434,2
2663349,2006-12-04T18:59:33.728000Z,4.70,42.778,-38.21915,177.48759,2
3145159,2009-08-27T14:10:48.957000Z,4.70,33.910,-41.44162,174.70868,2
3185771,2009-11-18T18:04:00.681000Z,4.70,42.691,-40.41402,175.60246,2
2016p864309,2016-11-15T19:03:58.591937Z,4.71,11.701,-41.70173645,174.3481445,2
2018p177486,2018-03-07T16:04:33.906061Z,4.71,8.975,-42.35692596,173.4416962,2
2017p821508,2017-10-31T22:59:51.206888Z,4.72,7.644,-37.44020462,177.3571167,2
2020p065592,2020-01-25T06:27:46.740102Z,4.73,57.213,-40.61848068,174.5280762,2
2016p859920,2016-11-14T04:05:47.475920Z,4.75,6.946,-42.26462936,173.6381378,2
2018p782891,2018-10-17T16:04:21.989322Z,4.76,31.164,-37.34253693,177.791153,2
2016p859336,2016-11-13T22:54:18.487071Z,4.76,20.799,-42.3823204,173.5593414,2
2017p014499,2017-01-06T08:45:17.826173Z,4.77,8.625,-41.64638901,174.2911377,2
2016p869983,2016-11-17T21:27:03.164006Z,4.81,5.000,-42.22192383,173.8244324,2
2016p867480,2016-11-16T23:13:37.962027Z,4.84,12.000,-42.23450089,173.7483826,2
2014p475199,2014-06-25T19:46:26.307054Z,4.84,30.723,-40.655943,175.82796,2
2016p860816,2016-11-14T12:03:00.722161Z,4.84,15.384,-42.39838028,173.5789185,2
2013p615178,2013-08-16T14:47:02.932069Z,4.88,15.430,-41.62725374,174.2962388,2
2437783,2004-07-18T06:40:15.569000Z,4.90,5.000,-37.99303,176.54918,2
2017p257850,2017-04-06T09:42:49.908987Z,4.92,8.770,-41.68255615,174.2064667,2
2016p876450,2016-11-20T06:52:48.406838Z,4.95,5.000,-42.47023392,173.3497162,2
2017p027063,2017-01-11T00:19:21.720918Z,5.07,12.266,-41.67704838,174.2734433,2
